date,patch,keg_type,event,card1,card2,card3,card4,picked_card,unpicked_card1,unpicked_card2
2018-11-16 18:06:22,1.0.0.15,base set,,Slave Hunter,Trophy Catch,Predatory Dive,Tridam Infantry,Foglet,Biting Frost,Battering Ram
2018-11-16 18:04:41,1.0.0.15,base set,,Combat Engineer,Nauzicaa Sergeant,Poor Fucking Infantry,Venendal Elite,Ancient Foglet,Impenetrable Fog,Daerlan Soldier
2018-11-16 17:57:01,1.0.0.15,base set,,Wyvern,Heymaey Protector,Ointment,Field Medic,An Craite Longship,Blue Stripes Scout,Impenetrable Fog
